,Name,Rating,Reviews,Type,Head Quarter,Old,Employees
2603,Park Hospital,3.6,(198 Reviews),"Gurgaon/Gurugram,Haryana + 12 more",40 years old,501-1k Employees (Global),
2604,Hyundai Heavy In...,4.4,(198 Reviews),Public,Ulsan + 21 more,50 years old,201-500 Employees (India)
2605,RCL-PRIYA CEMENT,4.1,(198 Reviews),"Hyderabad/Secunderabad,Telangana + 27 more",48 years old,1-10 Employees (India),
2606,Health Care Glob...,3.9,(198 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",33 years old,1k-5k Employees (India)
2607,Amoli Organics,4.0,(198 Reviews),"Mumbai,Maharashtra + 7 more",31 years old,1k-5k Employees (India),
2608,Landis+Gyr,4.1,(198 Reviews),Public,"Zug,Zug + 7 more",126 years old,501-1k Employees (India)
2609,Amoli Organics,4.0,(198 Reviews),"Mumbai,Maharashtra + 7 more",31 years old,1k-5k Employees (India),
2610,Indian Bank,3.7,(200 Reviews),Private,Chennai + 48 more,115 years old,10k-50k Employees (India)
2611,Allianz Partners,3.9,(197 Reviews),Saint-Ouen + 9 more,8 years old,501-1k Employees (India),
2612,Konecranes,4.0,(197 Reviews),Private,Hyvinkää + 9 more,47 years old,501-1k Employees (India)
2613,Supr Daily,3.8,(197 Reviews),Private,"Bangalore,Karnataka + 21 more",7 years old,11-50 Employees (India)
2614,Athenahealth Tec...,4.4,(197 Reviews),Private,"Sydney,New South Wales + 5 more",25 years old,1k-5k Employees (India)
2615,Somic ZF Compone...,4.3,(197 Reviews),Private,"Gurgaon/Gurugram,Haryana + 9 more",27 years old,201-500 Employees (India)
2616,CMR Green Techno...,4.1,(197 Reviews),Public,"Faridabad,Haryana + 15 more",16 years old,1k-5k Employees (India)
2617,Harjai Computers,4.4,(197 Reviews),Private,"Mumbai,Maharashtra + 5 more",27 years old,201-500 Employees (India)
2618,Capital Small Fi...,4.1,(197 Reviews),Jalandhar + 38 more,23 years old,1k-5k Employees (India),
2619,Vulcan Express,4.1,(197 Reviews),Private,Gurgaon + 38 more,9 years old,1-10 Employees (India)
2620,Military Enginee...,4.6,(197 Reviews),Public,"Delhi/NCR,Delhi + 47 more",99 years old,51-200 Employees (India)
2621,Gyproc,4.1,(197 Reviews),Mumbai + 25 more,,,
2622,Desun Hospital &...,3.7,(197 Reviews),Private,"Kolkata,West Bengal + 7 more",14 years old,1k-5k Employees (India)
2623,Bharat Dynamics,4.5,(196 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",52 years old,1k-5k Employees (India)
2624,Sunwoda,4.2,(196 Reviews),Private,"Greater Noida,Uttar Pradesh + 3 more",25 years old,201-500 Employees (India)
2625,Romsons Group Of...,3.9,(196 Reviews),Private,"Agra,Uttar Pradesh + 34 more",70 years old,201-500 Employees (India)
2626,Ergode IT Servic...,4.0,(196 Reviews),Private,"Mumbai,Maharashtra + 3 more",16 years old,51-200 Employees (India)
2627,Frigorifico Alla...,4.3,(196 Reviews),Private,"Mumbai,Maharashtra + 16 more",36 years old,1k-5k Employees (India)
2628,IVTL Infoview Te...,3.5,(196 Reviews),Private,"Chennai,Tamil Nadu + 1 more",22 years old,51-200 Employees (India)
2629,Bhandari Automob...,4.1,(196 Reviews),Private,"Midnapore,West Bengal + 17 more",44 years old,501-1k Employees (India)
2630,Asian Granito In...,3.9,(196 Reviews),Public,"Ahmedabad,Gujrat + 35 more",22 years old,1k-5k Employees (India)
2631,Johnson Matthey,4.1,(196 Reviews),Private,London + 12 more,205 years old,501-1k Employees (India)
2632,Danske IT,3.7,(196 Reviews),Private,"Bangalore/Bengaluru,Karnataka",10 years old,1k-5k Employees (India)
2633,Total,3.5,(254 Reviews),Private,Paris + 34 more,98 years old,501-1k Employees (India)
2634,Globus Stores,4.0,(195 Reviews),Private,"Mumbai,Maharashtra + 31 more",24 years old,501-1k Employees (India)
2635,Su-Kam Power Sys...,4.3,(195 Reviews),Private,"Gurgaon/Gurugram,Haryana + 40 more",34 years old,501-1k Employees (India)
2636,Epiroc,4.0,(195 Reviews),Public,Stockholm + 14 more,149 years old,1k-5k Employees (India)
2637,CPA Global,4.0,(195 Reviews),Private,"St Helier,New Jersey + 3 more",53 years old,1k-5k Employees (India)
2638,Bhilai Engineeri...,4.0,(195 Reviews),Public,"Bhilai/Bhillai,Chhattisgarh + 18 more",62 years old,501-1k Employees (India)
2639,Philips Innovati...,4.0,(195 Reviews),Public,Amsterdam + 6 more,24 years old,1k-5k Employees (India)
2640,Kirloskar Electr...,3.9,(195 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 19 more",76 years old,1k-5k Employees (India)
2641,Metric Stream In...,3.4,(195 Reviews),Private,"San Jose,California + 1 more",23 years old,1k-5k Employees (India)
2642,IDS Infotech,3.2,(195 Reviews),Public,Mohali + 8 more,33 years old,1k-5k Employees (India)
2643,Tagros Chemicals,3.7,(195 Reviews),Private,"Chennai,Tamil Nadu + 6 more",18 years old,51-200 Employees (India)
2644,Haldia Petrochem...,3.8,(195 Reviews),Private,Kolkata + 9 more,37 years old,1k-5k Employees (India)
2645,Pearl Global Ind...,3.8,(195 Reviews),Public,"Gurgaon/Gurugram,Haryana + 10 more",35 years old,501-1k Employees (India)
2646,CK Birla Group,4.0,(4.2k Reviews),Private,"Delhi/NCR,New Delhi + 34 more",160 years old,10k-50k Employees (India)
2647,Madhucon Project...,3.6,(338 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 22 more",39 years old,1k-5k Employees (India)
2648,Mettler-Toledo,3.5,(194 Reviews),Private,"Greifensee,Zurich + 16 more",76 years old,501-1k Employees (India)
2649,NetApp,4.2,(194 Reviews),Private,"San Jose,California + 3 more",30 years old,1k-5k Employees (India)
2650,ACB (India),3.8,(194 Reviews),Public,"Gurgaon/Gurugram,Haryana + 17 more",25 years old,201-500 Employees (India)
2651,CMR Engineering ...,4.7,(194 Reviews),Hyderabad + 3 more,12 years old,201-500 Employees (India),
2652,AYN InfoTech,4.8,(194 Reviews),Public,"Bengaluru/Bangalore,Karnataka + 12 more",13 years old,51-200 Employees (India)
2653,Bluechip Corpora...,4.2,(194 Reviews),Private,"Mumbai,Maharashtra + 61 more",26 years old,201-500 Employees (India)
2654,Smaaash Entertai...,3.9,(194 Reviews),Private,"Mumbai,Maharashtra + 19 more",13 years old,501-1k Employees (India)
2655,CPM India Sales ...,4.3,(194 Reviews),Private,New Delhi + 32 more,14 years old,501-1k Employees (India)
